央视频道,#genre#
CCTV4,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN5000037BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUSprAVNI633ampcuzdN%BfH0ZQXwaiVktPr6ILPKXqwOUCZXft7ZULN6h9qLQPFOTSlVTfophiKaMb8hkPV74
CCTV5,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN63877e67ca0/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUSPTZ4CK5oLfjaEYe9dogNMSXw4ajlL%FoUYCRZQQDco6uQSifXBocz5ID6RePfIKQ4rFWiHjq%FeZoDmrzW%FKlw
CCTV5+,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN6387908d48f9/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUSBx06ZL9Bo6JOM%BSTjxZRK54GjtietGzDaHvFNRtjXOvFnbf%BTao33JqYlfMYYnz3agOn9gvNMT9KmBaR9o
CCTV6,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN63878804bf9/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUdDh4EPdDnvGlSBkYaxFdazJhFQmuq4XUiks9ZrIlJN%BknLs8H%BSxcDXy%BTesEc8Q0KCN89MjYoj85SolkbKI4
CCTV7,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN5000038BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUSprAVNI633ampcuzdN%BfHYKFve4MwNzRa0jPXeHjqnBjPmzSdKDNWNHhnZSaMGCXKmdx8d%BnYdhVK5geot4
CCTV8,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN63878970aa8/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUdDh4EPdDnvGlSBkYaxFdaymid9tatVUW0%FdVrFqszCEVEkAbpipIYxn%BaaA%BVAihIiw9D8ejUsDbfU0K68
CCTV9,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN5000039BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUSprAVNI633ampcuzdN%BfHArfvJFpWpm4RxcBNhZ7j9vEUeCQte%BbQaOGNIUEEK%B3RBEBC9EUsM8gnb%FyAA
CCTV0,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN3949784BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUXt3TPFwzzdHCkOT9AjSv5OuXozn3alq9%BUx7ZLGw9aOfkLjZvYj56D3xkOAtSOIoLsdw8c%BCwLDgaS4esN4
CCTV,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN6000053BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUTWDyIgRkFJBAHMhAayG0QjxHA4vdPGsjBbxSL3p%FmAObVTfznR%Fpc%B76QYmLRMuL3Lj9iabhv8arW7kJe6%F4
CCTV,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN5000040BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUd3JMPCgDefrKOVZLNt0QMAmpLefguRLiOPXiDRWhxHg8yimgiTBA8RILsb%B8Y5pkFUyZBE%FkNJAbwncEegkU
CCTV3,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN6000054BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUTWDyIgRkFJBAHMhAayG0SuXozn3alq9%BUx7ZLGw9awc4iEUxQ5VsTsr5pEBsmF56tXUfsukRUpygmTCKvAI
CCTV4,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN3949788BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUXt3TPFwzzdHCkOT9AjSv5PYKFve4MwNzRa0jPXeHjqnp7kLaCMP6L4QpTf84Oz6DvCG%BJ8QvStkxO%FoGm8
CCTV5,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN6000055BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUTWDyIgRkFJBAHMhAayG0Tdo%FUL80msfbYvoWpNl3Dy7jHvMl%FzVUrNxhLekYEGVDZ7lCg0LtKJY4Ku%B8
CCTV7,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN63878afa3b4/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUdDh4EPdDnvGlSBkYaxFdaz%FyAI9to%FMBBt%FivcdSfljJ%FqqamWUjAiBAxNssfyBlZUDSXAIMtStS86hRHFuJM

卫视频道,#genre#

北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3578/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35735/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35740/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36409/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36338/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3648/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35739/index.m3u8
